cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23
38,7.42969722426609E-05,0.0,0.0,6.0442423032267E-05,0.0,5.73811944511318E-05,0.001040587322240010,0.0021949321094289500,0.006344167851121040,0.006964683388265920,0.005984965783095340,0.007084797594024080,0.005077314090400240,0.003918371028320090,0.005520792600951940,0.004941649579647250,0.006276778505830290,0.006962788360643760,0.005268784938839770,0.0030828678539134100,0.003023500358837460,0.0013085214165846500,0.0004297476624353010,0.0003470458497763560
39,8.05037997310544E-05,4.93011950683575E-07,0.0,0.00010530862841756000,4.55874315987077E-05,0.00017050297966909400,0.000543613378127381,0.0026436094340699000,0.004602729578831130,0.0051610753678144900,0.00450099969985338,0.0050609330607314400,0.00353356374726086,0.0026669245596292000,0.004236273041542890,0.004418961537126550,0.005101981004723580,0.005940853204442270,0.004195275799991700,0.003034331319244190,0.002234109495033990,0.0010468236226754200,0.0006506253457174540,0.00022550984692873400
40,4.21209869226096E-05,7.35113081825061E-05,2.32855081861838E-06,0.00032746871706091700,0.00014519600604940500,6.30560050318462E-05,0.0005014467498893480,0.00234817880111237,0.004886909328000580,0.00476163307620644,0.005164856646314200,0.006992030986130590,0.005643357984361760,0.004387882522330270,0.003691508641307480,0.004400768190001990,0.005654162770190310,0.00656703247282494,0.005079944608099930,0.003989715274536850,0.0026610465693537100,0.0011804738504478700,0.0007483238159280790,0.0003258932347802980
154,0.00019827714642636600,0.0,0.0,0.0,0.0,0.00043907424180965400,0.0007712518606227780,0.0045249783547065800,0.006394512570457710,0.006810536585976230,0.0060199273845822200,0.007549302008677970,0.0057361624941241800,0.003405697311480700,0.006839927437783350,0.007806286132074500,0.008492498094783430,0.00992810519303246,0.00722096563106939,0.004391077882319820,0.0038117625426074200,0.002116671936650410,0.0012810434019880300,0.00044224455456764900
155,0.00012354479113904800,0.0,0.0,0.0001742987444308540,8.71493722154272E-05,0.0003486567331258450,0.0007143133370212500,0.003848745008922520,0.005752479554600310,0.006293238431410910,0.006482445190909460,0.0073117208176534700,0.005298876536909390,0.003562456393622260,0.005360588388476920,0.006589186737424860,0.007041427561085660,0.008651762883578090,0.00592090005406405,0.0037665880665488100,0.003269751736029050,0.0017261602057998800,0.0010125374670660400,0.00033146749350763800
156,2.14104879597288E-05,0.0,0.0,0.00029258580263051400,0.0001461685691527560,0.0001357130513862270,0.00042091978067730700,0.002469183337721360,0.0051826090688763000,0.00536751018192039,0.004936666461726860,0.005322108418811260,0.003619177577582130,0.0032000532433812700,0.004238440838684280,0.004359367083820880,0.004925330892819970,0.006117156690877170,0.0037894058319925000,0.003113335955338440,0.0018815475019341600,0.0010922760205757000,0.0006336360149246850,0.00013027402546053200
157,8.21443409856278E-07,3.26239821259053E-06,5.84385670864604E-09,0.0006652830976003150,0.000332165032363481,9.2464175157108E-05,0.0004206665899073760,0.0028833774354506000,0.00645625357380803,0.005563207658778130,0.005623175474720490,0.006682510580660390,0.005125571854435300,0.004453909589465090,0.004163449296909540,0.004928287611036720,0.005359112044927450,0.00716218947860948,0.0042904469238422500,0.0036222761200675200,0.0023276942355021400,0.0014693017039299100,0.000881826183727648,0.00018445787907179800
158,0.0003989463647476230,0.00029650701710245400,4.61653663515965E-05,5.85477970722489E-05,1.13164039038958E-05,5.95183435327385E-05,0.0006699777142663300,0.001825579809474170,0.00418667707357402,0.004452232335764770,0.004594725523284380,0.0046391146119160000,0.004803100990277030,0.003791201059779210,0.0047158296762292400,0.005018640807145050,0.004695427298091200,0.006019353975558870,0.00511651945047377,0.0038250883984036800,0.002608220331294730,0.0010562554951121500,0.0008419549757218710,0.0001920650082948530
159,0.004052097525144400,0.004175420981002420,3.48736592544936E-05,2.07464886012699E-05,0.00047514173126700700,3.48736592544936E-05,0.0004844929002501160,0.0013195196765653400,0.0033177082904222300,0.0030770584254502900,0.003634575550675770,0.003540095190560310,0.0029673283805290200,0.0031476846801493500,0.0028141117090858600,0.0032047870369070900,0.003335114301586530,0.004146747262986570,0.0036064273011657800,0.0028880796984682000,0.0018846530827593200,0.0011266702627598300,0.0005146620158041590,0.0004566081322264390
160,2.17663283408276E-05,5.92864175495186E-05,0.0,0.0,0.0,1.7301763737978E-05,0.00015305633738816400,0.00021587672048462600,0.0009914379041366590,0.0017988954974217000,0.0016923491471513200,0.001798125077450340,0.001444235121454760,0.0015683523663832400,0.0012050807112198900,0.0012329664397128800,0.0017296355524219300,0.0015981657062049300,0.0011816255740041100,0.0008175982313820690,0.0007456139420381430,0.0003533686951197680,0.00025513972430608700,0.00014725355589342300
