cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23
38,0.00039733481912727400,9.17841333203513E-05,0.00014644717085372800,7.3223585426864E-05,5.27307951309053E-05,1.67842339331166E-05,0.0004219499828253090,0.0019525954783844200,0.006152714288395120,0.006897597088076540,0.006437368334171530,0.005997240971843060,0.005735564734043180,0.004603575214763910,0.0054402232555439,0.005236657483869950,0.006283071654601350,0.007518087481993640,0.005583538646101020,0.004320533104570920,0.0025941919658699100,0.0010254442209295400,0.0006833171768977920,0.00018469688018831200
39,0.00012023851813144400,0.00013119252387950200,3.42449859909827E-05,2.01730016701433E-05,0.00014149351720503200,6.50640440408128E-05,0.0005289001111405060,0.0019529914676219900,0.0055637183941641800,0.005085882684217670,0.004147582615559060,0.004641562960761870,0.0038223427604802700,0.004439661768880980,0.004445390849070130,0.00465237195807679,0.005451352435141150,0.006117768348925970,0.006037433608959510,0.0030087910859583700,0.0022783967353727300,0.0014061684910996700,0.0004764767007147460,0.00012031504004023200
40,0.0002972108848154350,0.00017754958385233200,3.34371139372398E-05,5.33897076865004E-05,0.00015034985133607500,7.36264276972396E-05,0.0005316619173737360,0.0025829536436487200,0.004435276815705640,0.0056904059807462600,0.006144515449801350,0.0069020726553165,0.006906098027986100,0.005313508059617810,0.0038933682849183400,0.004977493960477690,0.005275211057694980,0.006546290607045160,0.006226638648247420,0.0038033866824267300,0.0028099376329194400,0.0015056109964410800,0.0007995806073223530,0.0005671391768399630
154,0.0,0.0,0.0,0.0,0.0002917160795311950,0.00024020485680719800,0.0007721257931455920,0.0034909231125485400,0.008940446275365150,0.008844698843373910,0.0042900700043327200,0.006589096126956710,0.0051820269520247300,0.007344277064819740,0.007222457483434510,0.007784697678190620,0.008870137916703910,0.008675751294472540,0.011071970728212200,0.004839206051299760,0.0040054927920741500,0.002911331660979650,0.0005872728665558830,0.00024020485680719800
155,0.00010557798945133600,0.0,0.0,0.0,0.00027271414161999800,0.00014966958824904800,0.000751996343737091,0.0031936919657829900,0.007241077030749720,0.006991705527706060,0.005581073970553620,0.006886450691514770,0.005907888559927160,0.006204751123658590,0.005714845432862040,0.006243378633825540,0.007301067118911760,0.0084480050510166,0.009059669053045550,0.00426274928512385,0.0032981856387687100,0.002405495604524340,0.0006566187707923660,0.0002132466036957120
156,0.00017798113395734800,0.00014385608343975100,6.0249382903501E-07,3.01246914517505E-07,0.00013877424481371900,2.56367055284728E-05,0.0007617796597575210,0.002200208241740410,0.00470853515301253,0.003902928565996510,0.005066738783886800,0.0050971320075155600,0.0046163634989688600,0.003845892257929220,0.00424163020606972,0.004060105927684500,0.004687700992362430,0.007041476302464860,0.005741156407535560,0.0028325142929887800,0.002371542040792160,0.0013352729458689100,0.0005290160116635200,0.0001951546939913180
157,0.0004100114823113960,0.00010887231312684500,7.07959938501238E-09,3.84853774968222E-07,9.74066147348938E-05,1.41591987700248E-08,0.0010278936159591100,0.0029417454094024600,0.005447640098884890,0.004307890551082610,0.007062199224046630,0.007038679418742120,0.007354546108425400,0.004611540281505430,0.004478317951157930,0.005059802870520520,0.0057090500107137000,0.0086518681484557,0.006838613943556680,0.003587354412883460,0.0032504070096146800,0.001770426168485330,0.0008298418991582930,0.00031279607902779100
158,0.00012780308189592400,6.40381328294554E-05,2.10451680384341E-05,4.46261113334467E-05,7.39706064694623E-05,0.00012756552753787300,0.0005075345674802330,0.0013073062470464500,0.003219654065624790,0.004901827256311040,0.0053562152842519600,0.005484157056992620,0.005575081664318470,0.0043665200229800400,0.005297304752877410,0.005584033073368490,0.006517945389021370,0.006822810939077920,0.005086983468336110,0.0030547284199760700,0.0038266243423834800,0.0018904166205224000,0.0014002965700929800,0.0003565337733280110
159,0.00011728553636783100,2.42477419492099E-05,4.22480476370965E-05,5.06633745002624E-05,4.53177144712908E-05,0.00012557583292859600,0.00034348916339423500,0.0009566823250651960,0.0029360703910214900,0.0035192055044229500,0.0035808288175625000,0.003976628936462410,0.0033663610581141800,0.0028377189462667800,0.0038054485731561700,0.0032524782154972500,0.004454020609847860,0.004640479074825110,0.0038391744307780100,0.002499686889834380,0.0022633582414297200,0.0009039490408843960,0.0007527764630526410,0.00023265497500238400
160,9.95203465150953E-05,7.46485210744646E-05,2.1158788428205E-05,0.0,6.31752427060414E-05,7.45085655508549E-05,0.00011375005670370800,0.000669641866864505,0.0008900839587553120,0.0017760595379636500,0.0017654725365893900,0.0016091200041732000,0.0013998891161054600,0.001271368628447370,0.0009456400194779800,0.0012310137198359400,0.0014200778505097000,0.0020627271628582100,0.001349141252956050,0.0011405394238055400,0.0009314266733043590,0.0007171505035561920,0.00021520393182814300,9.14488862285529E-05
271,0.00014264658190293300,1.46828233629212E-05,2.93656467258424E-05,1.46828233629212E-05,0.00017665241665869300,0.0001755763343127930,0.000770981382600206,0.0030039997769037800,0.0075178686136605700,0.007189048617533170,0.003840991036456680,0.005609285038255740,0.004993527726024840,0.005942305323673330,0.005996992762113320,0.0065286823556689500,0.007405191484662020,0.007594372686845300,0.009119588362813750,0.0041503178082875800,0.0037460762438846700,0.002414265228603270,0.0005813627001860460,0.00025783213165429300
272,0.0008091683819643840,0.0,0.0,0.0,0.0001663864855402470,3.43894327442824E-05,0.0018678697330326400,0.005621405912875640,0.010240739198209300,0.007827696899775540,0.011758251210355600,0.011838151432206400,0.013565721203194300,0.008303485529200590,0.007966592785392990,0.009334667308454440,0.011372866276222500,0.016105341221795600,0.013623895684406400,0.006929531568426620,0.0062152302864176400,0.0037510057546569400,0.001641602738892690,0.0006484495282550980
273,0.0003368682201146220,0.0,0.0,0.0,9.84151440582912E-05,0.0,0.0010580926238106400,0.0029167330099680800,0.0052904631190531800,0.0038063915237214100,0.005477023014310080,0.005280192726193500,0.005897136810304200,0.00372854627358101,0.005306115687335940,0.004353316641833090,0.0059832913446899300,0.010227392190986500,0.007967264944454540,0.004052670883919110,0.0030871282286397400,0.0018889976728310700,0.0008309050490204300,0.00039562168484751700
274,0.0005691478365211650,3.1489446643939E-05,1.88779157524434E-05,9.43895787622171E-06,2.35118955321958E-05,0.0,0.0012889150851821700,0.003473823189988910,0.006711527709230670,0.0047884703907417900,0.0066758502365833200,0.006628334773609790,0.008049903312575130,0.004855351801502460,0.005702427148918210,0.00595047823200084,0.007482720519374880,0.01092513474917500,0.009010436325060360,0.0046410061398702200,0.0042319277178550700,0.0023221399883804300,0.001064222677933060,0.00047901577779885400
275,0.00024026604838340500,2.16441374415112E-05,5.79310477751961E-05,0.0,6.36115824380506E-05,0.00011586209555039200,0.000697621771979156,0.0018556441886563600,0.004088391406742990,0.0034025859214722200,0.004045911800441210,0.004727764752004270,0.004451375381913120,0.003304657984728400,0.004069738637801710,0.0035603056520673400,0.004889139188903520,0.0058538004771250300,0.004848515867153210,0.003190783589201850,0.0025544535997745400,0.0011187094126056000,0.0008639714463751890,0.0002047364169673790
276,5.97547512530681E-05,0.0,5.36948466908382E-05,0.0,5.36948466908382E-05,0.00010738969338167600,0.00027756409029753600,0.0007253025775109320,0.0018710740717052300,0.001644174875817410,0.0015701146575280000,0.0022144528178180600,0.0015882943712146900,0.0014384853458974000,0.0021153086869105000,0.0013371555570779600,0.0023066927497941600,0.002366447501047230,0.0019845236696491300,0.001638114971255180,0.0009998367155273540,0.00028665394714088100,0.0004386486303700510,5.67247989719532E-05
