cellid,internet_0,internet_1,internet_2,internet_3,internet_4,internet_5,internet_6,internet_7,internet_8,internet_9,internet_10,internet_11,internet_12,internet_13,internet_14,internet_15,internet_16,internet_17,internet_18,internet_19,internet_20,internet_21,internet_22,internet_23
38,0.0038069098874382400,0.003525734443185380,0.0031420329000945000,0.003091966035364400,0.003058382713973560,0.0037676594413460500,0.004786394233742840,0.006459667384304100,0.0077992388341665300,0.0074237941251236700,0.0062460795158464400,0.007901685612672190,0.007548962896303530,0.008934846022387770,0.006837861538814370,0.007290397415564680,0.009574651947452500,0.006755442838458120,0.006939505175876090,0.005688270464693140,0.005768683069687540,0.005545739307209300,0.004592716381844130,0.004271227193964430
39,0.0034439367175634400,0.002907156228911080,0.0026769484222978400,0.0024757528396967700,0.0024796441040039600,0.003666929011853690,0.0041759478125910300,0.006716580106890360,0.008460929640168230,0.005777440169760200,0.006594515263727460,0.007878694732293670,0.007347410082233960,0.007994388420835250,0.007228711597576450,0.0069306746462565800,0.006484040608584620,0.005773794473908990,0.006399552612708870,0.004497832084559880,0.005881248185057630,0.004896495596390940,0.00357721866254377,0.003434537494179890
40,0.0038545835627174600,0.0038668103210926200,0.0036823793741036600,0.0036796366911001700,0.0036242193174336900,0.00424865565715626,0.004718098586573140,0.004843548061351590,0.005034457851474940,0.005368358880074240,0.0063944150522071700,0.006910371343218290,0.0074473164654342700,0.007606384224306120,0.005828855732579310,0.005780804522736880,0.005688050078883390,0.005410370984385620,0.005564258639238500,0.005240620163028460,0.005325969236930200,0.005159124593133610,0.004623974387121770,0.0040341539713926500
154,0.0033736280359795200,0.003154184655641290,0.0028471707491187400,0.0022983364664987600,0.0026272380636571000,0.003995862409549160,0.0052364411487193700,0.008560334860003520,0.013599381808677200,0.007325648917843780,0.007535762227536180,0.007302925754059340,0.008386175971232470,0.008596078111705630,0.009443090299137650,0.009561531989194650,0.008458667330569840,0.00727272235958985,0.006895208012257910,0.005760061116593180,0.007604893694112550,0.0070931048941562200,0.004432335523069680,0.0042066436614679900
155,0.004952917592397240,0.004381723119249260,0.004147942537461680,0.0037560268488331600,0.003864738372729520,0.005801548667721360,0.006558976062745070,0.009491069736842950,0.01199721361854690,0.008345737202469930,0.010000964870234000,0.011572713406355400,0.011794793344822900,0.012281995585197600,0.010550115431143200,0.010368813175012100,0.00910034449827478,0.008290274992245640,0.008018013504273650,0.00669156410664891,0.008701298633525890,0.007319631281142520,0.005183337647901990,0.005190105606519290
156,0.004748378862906400,0.004016618692981340,0.003907235855013870,0.003765525513345620,0.003692889151757960,0.005193310513523390,0.005977188601488610,0.008430559444267950,0.008272227873347890,0.008313628780027250,0.009253649533679270,0.011118524091502000,0.010226038893784100,0.01119447460987890,0.008913792825963660,0.008568947163086210,0.008350893901594900,0.008076653994637290,0.009550376810400860,0.00658611847996723,0.0071896141532604900,0.005333853528427380,0.004912452693732400,0.004437071400538460
157,0.0067246157926542500,0.00637592785590302,0.00619493553989795,0.006111092085120920,0.0060522744626904700,0.00766868540710581,0.008779121030210660,0.010610160075281900,0.010018323329841900,0.011721688301923900,0.013153491173348200,0.014839544068610200,0.014205681792284400,0.01574331568986600,0.011890889686232300,0.011436240366845500,0.011447704218598900,0.011268105038025600,0.012573618440706100,0.009672251088652750,0.009590889527563380,0.007740122264074530,0.0074914842402156300,0.006445131407603060
158,0.0015915253524199700,0.0014932592090454100,0.0013954070499735200,0.0012519481198213400,0.0013188267363971500,0.0015789994549993900,0.0020463962388029000,0.002908453084950400,0.0028755196057442500,0.002718287670318160,0.0031471872296991900,0.003205805228671020,0.004121748469219710,0.003690371471566990,0.0033949271714636900,0.0034554335399377700,0.003594300404196980,0.0038341084841933300,0.004068728078678260,0.003592030158934090,0.0030225471630876600,0.0027425420124791400,0.002335629792333160,0.0021073317553781000
159,0.0011801351884879800,0.0010855146111364800,0.0010708493359968900,0.000986310203828376,0.0010364244075915200,0.0011309323300770900,0.0014993497825483300,0.002213197911011370,0.002153934971867870,0.0020325840312744700,0.002258572479103860,0.002227932426040160,0.002364357291779900,0.0024697787603127400,0.0022579615191915900,0.002217368109603150,0.002391700244197070,0.0022376919884286,0.0022885706850672300,0.0019918911815678600,0.0019166317345990800,0.0016819451729890600,0.0015827227230390400,0.001385651632757410
160,0.0003490871072195940,0.0003031104880372950,0.0003040628658688420,0.00030677744216895700,0.00032024925965242300,0.0003321329904622350,0.0004417980039212190,0.0006088936162435440,0.0007552004134101130,0.0008481625212017460,0.0008527825083318620,0.0008773852651335350,0.0008939592475382830,0.0008169701843564320,0.000866458903653288,0.0008242572056178110,0.0008044442678828310,0.0008158226102939790,0.0007841891757300810,0.0007537982931997210,0.0006220631983080580,0.0005155516369830070,0.0004557336495855960,0.0004228519444515640
271,0.003099128452959740,0.003194765380505090,0.0029214403169992800,0.002524504320330600,0.002848822318192350,0.0036358954231711300,0.004977712836964620,0.0071397304684490200,0.010919800933081600,0.007126774872475170,0.006790388787946040,0.005873586173619780,0.006947732371652040,0.007675407647311810,0.008075952768371740,0.008168301046959440,0.007785058880266910,0.007021289430061800,0.00694443568533725,0.005818358779730580,0.006441469693755000,0.006195335877899260,0.0044759957298029400,0.0038904631655750900
272,0.012060546124720500,0.011936635583272800,0.011609468469713000,0.011343969588752700,0.011412065034994700,0.014149870473279200,0.016581988835090100,0.01959393943222960,0.020018501214917400,0.022340831280907200,0.02382554375533550,0.02528753599433600,0.025263920036364700,0.02850706761871240,0.022323341729932700,0.02165601707517070,0.02179383679877760,0.021508206832086400,0.022351234023051100,0.01872421709059280,0.0177686471275886,0.015256460834731100,0.014427361955682500,0.012230418103085100
273,0.006299526430713990,0.005646437077132000,0.005532010356241840,0.005351754560124590,0.005321969827564970,0.0069036991047504200,0.008725503597177920,0.011376797073335200,0.01092915244354620,0.012927025412122000,0.011688775316387700,0.01264391786205820,0.012276688102825200,0.014371656184585300,0.011989546813791200,0.011691379082619400,0.012480205956135000,0.01283325312155280,0.013914756791552600,0.010909234891875700,0.009390747624262100,0.007818546588742680,0.008088340678309340,0.006480554094139900
274,0.007214797539931380,0.007321279963744410,0.007061387536039230,0.006923757630686410,0.007034009955405190,0.008186490548238750,0.010370442780461900,0.012328183215191100,0.012782101703120700,0.015141036920370400,0.01401191226869790,0.013534453011812400,0.013685529438323000,0.016361803549017700,0.013754523774477900,0.013384428931262200,0.01450417535116770,0.014719007071670200,0.015819145712223900,0.012803347371907800,0.010765891969663900,0.00962410466479628,0.009774725970297100,0.007681289583198440
275,0.003051150446173830,0.003086241331358180,0.0029622101797646000,0.0028710061183410700,0.0029722021700237200,0.0033946273960542700,0.004121083713716670,0.004863058768349760,0.005192518460713460,0.005702476004269650,0.005850028765272940,0.005837429620486070,0.005639314428558460,0.006444092273138710,0.005394384004368020,0.005246011756393350,0.005699797728963280,0.0055154333781157100,0.005873517449232750,0.0047637473954609700,0.004375265411530260,0.0041452066574006400,0.00394788959569331,0.003216163800295500
