cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23
38,0.00034172910824814900,0.00021441555509500700,6.26223371285878E-05,2.95759774279858E-05,2.95759774279858E-05,1.61719331833158E-05,0.0004369630723257430,0.0014160369403907900,0.0015027004895969700,0.0015428154196560200,0.0018683508363652900,0.002268914899058740,0.0025174599113801600,0.002461380451431080,0.0019038167910623800,0.0014823170415141900,0.0018448423173097200,0.002056316779121730,0.002298902300770900,0.0026511174865008200,0.0023935996648044800,0.0011493629555008100,0.0009945185830995510,0.0007496185373869840
39,0.00012143330682846100,8.19129466895899E-05,1.76575036874181E-05,4.02104661685207E-07,2.36366645010986E-06,5.14835072985327E-05,0.0003469243045990440,0.0013960618883525800,0.002234589042567570,0.001329229758209290,0.0010287369394343100,0.0009084478371338760,0.00136378352499832,0.002575777292535470,0.001323376246907770,0.0016267637209251400,0.0015552005272120300,0.002565337201874090,0.0017472578073940400,0.0010333876054704200,0.001314316229554630,0.0013179771758854400,0.0009725659486537110,0.00023822255747460400
40,0.0004954005035677110,0.00017823825077263200,9.17793159840803E-05,0.00012894111192066100,6.44194876527016E-05,0.00016882365423908200,0.0005980790041681360,0.0011619723508307200,0.0014169813477168300,0.0015326864108000700,0.0012247113190941200,0.0016183536949377300,0.0015678055659888500,0.0020124323218871400,0.001836231476039650,0.001920077068362120,0.0018582302845809300,0.002074559579860660,0.0018203287616727500,0.001950926494708610,0.0022948436800617700,0.0024461642435773300,0.0013173411682453200,0.0008426888964840390
154,0.00018609742579671900,3.9908043808921E-05,0.0,0.0,0.0,9.30487128983595E-05,0.00057096480911834,0.0022292307836078600,0.0051034838257286100,0.002559102117392590,0.0016581085457855000,0.001090119304219280,0.0013028921485444000,0.0032173746722724200,0.0021322788129336600,0.003113088472158590,0.003162536051439550,0.003978340164963330,0.0033959804399254900,0.0015613140038153200,0.0026033160838256700,0.002745199543189310,0.0015296151404064000,0.00017286480051620200
155,0.00012504843762458900,0.00011351356056583800,3.03090868548201E-06,0.0,0.0,0.00010305482723075600,0.0005084798056072710,0.0018561555838600200,0.003743247061841630,0.0019436755179293700,0.0014913526506567500,0.0011867973065555200,0.0013558112550606900,0.0031300041315152200,0.0016658790042089900,0.00235326549619519,0.0026328997136228500,0.0037330657496009900,0.00259055040038289,0.001384699493163320,0.0022232124372137300,0.002210718851486940,0.0013358629984469600,0.0002994247555382210
156,2.04453738293955E-05,8.78860918046507E-05,2.33389432945187E-07,0.0,0.0,0.00010989496717014100,0.00035221729888862900,0.0009668857627104420,0.0016692369645514400,0.0011243552192831600,0.000825053628378983,0.0009062135600861260,0.001149171673074520,0.002563416489298050,0.000935125491396344,0.0015721902391910700,0.0014003359897896000,0.002315652075252490,0.0011318744983175600,0.0009134392417936050,0.0012777714503006300,0.0011856357765996300,0.000712672347541449,0.000248908185078057
157,3.29766122718644E-05,8.28732468026638E-05,2.3450389231654E-06,6.91867557886973E-07,5.4004341698398E-07,0.00019829561882709100,0.0004900019721774710,0.0008955512168197390,0.0013507983935976300,0.0012606701968326400,0.0007216881949652870,0.0012413573370783000,0.0009817559752848860,0.002654070328016620,0.0009861090721324170,0.0018741136742562900,0.0014290534080513800,0.0023165923678955200,0.0010648967648357400,0.001298827052320860,0.001758487908162550,0.0016916271544297300,0.0007581786892053700,0.00025710692423453700
158,0.000447555431467934,0.00015183729002565600,0.0001331571996326570,0.00012281949095071100,0.000122964654396443,0.0001211166311413960,0.00024034243269256700,0.0008610986966422700,0.0012146698881171800,0.0008877641650744480,0.0010795796037383600,0.0010020570559749800,0.0011196152791822400,0.00267228153962807,0.002228870832930890,0.001105694199053010,0.0018778554867285900,0.0016713796893612500,0.0016844658947066300,0.0017046559825434400,0.0014804268233388100,0.0009146457823166010,0.0007744495003480990,0.0005348277370864000
159,0.0003971484760293570,0.00020747336200497800,0.00017337043603253400,0.00016028671005241900,0.00015700471176137200,0.0001746702481243430,0.0003242388347631450,0.0009838562584899740,0.0006097317637795600,0.0005502325073378070,0.0006186267670483450,0.0007793798195013410,0.0006582947941870030,0.0015316218128148900,0.001288549781488320,0.0008539958574275420,0.0012878576458896000,0.001446431104209410,0.00104112805055037,0.0009593626389815520,0.0010525096540245300,0.0006697353166252570,0.0009321514628236800,0.0004116779025836210
160,0.00038344504115106900,0.00017666168994474600,0.0001299486976509190,0.0003248188986913020,0.0002111263148757360,0.00038973492424067700,0.0004429153054854260,0.0005508289769940500,0.0008289663223529130,0.000676846346412449,0.0006566258186831030,0.00065320211722239,0.0007557362014643250,0.0006812382489121360,0.0007156111557208860,0.0007401797981026600,0.0007290908270571720,0.0007954840816359260,0.0006706657403234920,0.0007294255925174390,0.0007740709829120470,0.000568081173091522,0.0003002009747659810,0.0002350900636181930
