,cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23
0,4022,0.00013909412560519728,1.7030380162397616e-05,1.7030380162397616e-05,0.0,3.406076032479523e-05,0.0002643204246611782,0.0005921613703715963,0.0005704012911155296,0.0004002519966531942,0.00046565113249008686,0.0006839015047083484,0.0006523497643743839,0.0006925960839294369,0.0011280684431789671,0.0005268439318838148,0.0007550962819392268,0.0005266326081113297,0.0007351102934748275,0.0011033220404647736,0.0009394531349101491,0.0015357298619912334,0.0009920395054665,0.0009368195181028471,0.0007935808306839262
1,4023,0.00014296926936086988,0.0,0.0,1.1704120029306243e-06,0.0,0.000485370588642649,0.0009117705728676705,0.0007059356572715675,0.0004389101219508762,0.0004305996272580535,0.0007406790229021446,0.0005076102205246368,0.0006052400307932428,0.0010028248324187691,0.0003719052682988539,0.0006342865189557158,0.000794090964821686,0.0005098916437212029,0.0009198230570794751,0.0010006768085203286,0.0017168962546911903,0.0007978054048494352,0.0006512284947159245,0.0009804194784357068
2,4024,0.0007383419808269729,0.00022181490340017224,3.964015158041743e-05,8.37390778576918e-05,2.1200486676257993e-05,0.0001790568629120178,0.0007484029810071333,0.0022199908941669586,0.0026749918718975887,0.003806137844629264,0.004418393029620999,0.004143646768027656,0.0048796676099529274,0.004595800680275774,0.004093097118819305,0.004034005983053805,0.0046198157919915255,0.004215512492974084,0.0037562184096304745,0.0038020979696711662,0.004179298212502335,0.0029643080497785607,0.0022997677621137114,0.001911854866086636
3,4025,0.0012584734234390579,0.0006795485893891449,0.00014281385458305763,1.5338831435364124e-05,0.0,0.00025110702563997206,0.0007324170602816719,0.0020304742781416195,0.0023474669112822735,0.003400463040207214,0.002221397542647939,0.001630834871000551,0.0038567530725767724,0.0034043814769845124,0.00335052231940373,0.0033090326369776325,0.00424639931475523,0.00753906677453681,0.004717293740808651,0.004328529771889006,0.004907933540530237,0.003659441057949429,0.0016362214075023279,0.002386516902898077
4,4026,0.001089646575860582,0.0005658419520404088,0.00013095115595504326,0.0,0.0,0.00017298848417527903,0.0006822627312288623,0.0012156520839964934,0.0018962881678732638,0.003265422790571836,0.002613434192555881,0.002786788222405712,0.00362447766895601,0.0025502126326178752,0.003748018237728014,0.0025912707154259803,0.0034088939371871786,0.007206226321964088,0.004095017885581351,0.0037771112711351943,0.0039381632714681775,0.0032094587586520497,0.0016167928209174216,0.001809439223186365
5,4027,0.0008173304197543454,0.00042512915286758713,9.805031672168956e-05,0.0,0.0,0.00013097820270251836,0.0004528158507587429,0.0009163655781965806,0.0014382082096575934,0.0024818042038872784,0.0018450283094420326,0.0014979451640857223,0.0026185878414791536,0.0018669526911347684,0.0025231139100032056,0.0020447718494876485,0.002730564324673379,0.005426278234028826,0.0033034698405721894,0.0029279152413296144,0.003051856945944446,0.0025754962664619172,0.0015983471694514786,0.001563744660242665
6,4028,0.00159249563083339,0.0008458530989029793,0.00018666063298260278,0.0,0.0,0.0002858711999551709,0.0008502641818101621,0.0020478984877645287,0.0024110511683196507,0.003868251725137477,0.002743470269631063,0.0016244741348226544,0.0045339451138194315,0.0034714969850374827,0.004034589280058253,0.00354798955424038,0.004526441307782557,0.009557796532540004,0.005721446054551802,0.005265766061660774,0.00575654522556432,0.0045076049445396315,0.001893311162855996,0.002666111532191122
7,4029,0.0009291519329240656,0.0005650521000260316,0.0003358401254459976,0.0,0.0,0.0001488645783089754,0.0005809391735279821,0.0036090502832181277,0.0036129070255807713,0.005467796365805322,0.004606248702160006,0.0027505269762492656,0.006458885486104634,0.005035436560010814,0.004263647927202981,0.005019728871029603,0.005263650773133487,0.007186168717093121,0.007266772639437086,0.008748026640459955,0.005553634193675485,0.005287541012202544,0.0031005315734325503,0.002816739108174442
8,4030,0.00028111655864859,0.00026006204138748673,0.0003076730050967871,0.0,2.834691494441654e-09,1.3393810521161045e-05,0.00011647647628866447,0.004682735684517209,0.004260389033679294,0.006643136589466647,0.005770039762569501,0.0038301959855810952,0.007704226194732794,0.005622721901245989,0.004190948449327787,0.005461546298996744,0.00498944514741897,0.0040394763051794305,0.007929853547740937,0.011070879330003681,0.004058391950372663,0.0036546611734559033,0.0020279997693007355,0.001525190425402134
9,4031,0.0006040264185171047,0.00012062426726321306,0.00019402178151027767,9.057965485812981e-05,2.406924338066161e-05,0.00011638427751575522,0.0006105816119079084,0.002467741111618078,0.003548942763561262,0.003571682270219558,0.002630454053001538,0.0044035297111885965,0.003951539037806435,0.004939001518576495,0.004150142356977218,0.006546131558184032,0.005156234147555129,0.005092229009431519,0.004386322303738394,0.00392259225537075,0.004505267654422483,0.0036710554189137456,0.002237969610266386,0.001986886714398404
