,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23
0,4022,0.0,0.0,8.792770798988657e-05,0.0,0.0,5.524740756560365e-05,0.00021445816886618078,0.0007487905714825353,0.0016108388274913685,0.002539984719386494,0.0026083830711859934,0.003982148267519158,0.0023062353490468797,0.002271424663519135,0.0031168917423625257,0.002412473366858691,0.0028177732965035764,0.0019973755926223683,0.0019268871136013286,0.0014377050553626707,0.0018087660156875219,0.0006810416325479636,0.00019986013267530225,0.00012321597825607606
1,4023,2.239418907544231e-05,4.48771824847501e-06,1.4885057216695043e-06,0.0,1.4885057216695043e-06,1.4885057216695043e-06,0.0003675638543031995,0.000593466993107966,0.0009890564876626781,0.002256134637654492,0.0024488466289132003,0.004440555717781774,0.0025702636641500554,0.0026373378178814145,0.0036795899587456567,0.002589033084695613,0.0024482953251504136,0.0013470378460701583,0.0010034726303208613,0.0011458666087318277,0.0018260207155301517,0.0007496005589913474,1.2130056608020238e-05,5.97622397014457e-06
2,4024,0.0008096694529746398,0.00017134344012093247,4.792904841182145e-05,4.7542303485407994e-05,2.781084112299449e-05,2.056456529491821e-05,0.0005786287493813986,0.004012024993643698,0.009818572357357119,0.012602919280507718,0.012250090087495289,0.012112466948608408,0.013120933283754473,0.011179883800635766,0.011190713070365467,0.011990743329460849,0.014462400682860446,0.01562918249871675,0.012426747925148598,0.007764305727278887,0.0062274380742992986,0.002749692131674041,0.001825832727137582,0.0006204134028337147
3,4025,0.0007076274114810884,1.9798564073347614e-05,0.0,0.00018433667926003215,0.0,0.0,0.0004638950400010133,0.0044808719219376,0.010441925901053146,0.01118063483501185,0.014158561481723899,0.010633156748211121,0.013433523372854026,0.010802409677602227,0.011264602521045436,0.01076132092045597,0.012807303299455577,0.016738390143749636,0.01427889956083593,0.0075060922275608155,0.004355977615827185,0.002615232055109058,0.0007568917946571986,0.0004836936040743608
4,4026,0.0004465690365433288,0.00024530471917993995,0.0,0.000177401939593713,0.0,8.377013374272218e-06,0.0005144718161295559,0.004007623505233384,0.009386455395885828,0.010246112853652008,0.013889882347665668,0.010902599318265304,0.011832342999194048,0.008697266098606608,0.00972146868300875,0.009188926126359158,0.011059433913793134,0.014668647047413963,0.012026256442467924,0.007846899428196217,0.003847728762719214,0.003053278439331066,0.0006072546941859804,0.0002775441103238881
5,4027,0.00033811967350251575,0.00017967929242312984,0.0,0.00021211068634210194,0.0,8.555244843417522e-05,0.0003056882795835437,0.003131928436248601,0.00668403581028073,0.007599492755687424,0.010497432837748578,0.008091730099312145,0.008706951091924599,0.006785702677951725,0.007489263155017945,0.007207267624439676,0.008377555968108463,0.011668797599259964,0.00895612760163787,0.005483790855509422,0.0027951909684185102,0.0023150154399477546,0.0004034990780280766,0.00021156143559458907
6,4028,0.000737975287477023,3.6388342711344395e-06,0.0,0.0002409318152853118,0.0,0.0,0.0005011529954233029,0.00512169955435727,0.011598453776702785,0.011833547128490766,0.016580393749323154,0.012225119271679687,0.014752391138806463,0.01226654927331136,0.012515383261675488,0.011817272093372673,0.014243652843688705,0.018861692142244292,0.01620369381660314,0.008811775429946407,0.0048834651954221785,0.0031550417978328674,0.0007227954458559354,0.0005006823064628457
7,4029,0.0012880102318688213,6.385926777929051e-05,0.0,0.0005639307964355139,0.0004440895297500932,1.5537896271079557e-05,0.0018923194192465088,0.009079605852031564,0.02399913012732101,0.020536418576583695,0.02416841553516233,0.021116574273765218,0.01990853928781768,0.016291804544088382,0.02308869283839596,0.02261832340835865,0.023973854402729946,0.025029449422511025,0.01929375649265425,0.013077139466446957,0.005971421117071589,0.0032921174442982135,0.0007025946881521736,0.0011244694586392348
8,4030,0.0015256400054485355,4.9963519101120056e-05,0.0,0.00075431463320361,0.00075431463320361,2.3060466941891605e-05,0.0029096839130178355,0.011765349657223837,0.030918988424555365,0.02402666834036191,0.02495291162207109,0.025407568943787994,0.021569127420362745,0.016498449763988125,0.028879450158798847,0.028345403331540724,0.026435732822586364,0.026018324970884136,0.01702071797505825,0.012802429251086092,0.00659953493016802,0.001969508608158754,0.0007739461222043468,0.0015211423294845539
9,4031,0.00063505821281763,0.00042869133596847,7.172254729973326e-06,3.7892084317539977e-06,1.075231060496535e-05,0.0001272558817606222,0.0008334146198116226,0.006117770932420578,0.009978828497769631,0.020363601478806677,0.01620771529264225,0.021963505203759295,0.017076597427687624,0.009018784966519849,0.01591091415347871,0.01976127275075959,0.020412364316809425,0.018660092236796,0.011858301698410244,0.008381176186302687,0.007322434461492306,0.002523484681258964,0.0012096018865276413,0.0009277368586099963
