,cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23,WHF
0,4379,1.01238821402678E-05,9.69500424392061E-05,0.0,0.0,4.72678381369396E-06,0.00015229623695423900,0.0005835640161152290,0.0028424810716898500,0.007762853008331190,0.010743683205307100,0.012366326396813200,0.01093600343141380,0.008255062751914430,0.009372991673564570,0.009111126873216000,0.009998602296679010,0.009711109431949130,0.011318328531973800,0.008949488642669540,0.005030555537880740,0.0057535212268571800,0.0029064789885067000,0.0014784498726761200,0.0005996326786818950,1
1,4380,0.00015705076683386500,5.70291677814957E-05,0.0,9.14147981857071E-06,0.0,0.0002372710622835160,0.000977824333065344,0.006364536389104630,0.01494736531735030,0.017961805912995900,0.018580563977735500,0.01753564757738380,0.014908334277108500,0.01251736495527730,0.014511858900105800,0.017283756859124300,0.016387572310044200,0.019476858887606600,0.015358356162816500,0.01130097134999490,0.008684633042040450,0.005552767041889200,0.0024985620365668400,0.0006748002071553380,0
2,4381,0.00029382426642293300,3.96519031906801E-05,2.27862476962689E-05,1.70924799445252E-05,0.0,0.00028198308201921800,0.0006053757600283580,0.006603040654598090,0.011844238263453600,0.011647238497266000,0.010896843100241700,0.014921963882523300,0.010361894613148100,0.006792049348948600,0.010486121702643800,0.010328570281390100,0.010004311636464700,0.01263544972818440,0.01044689955772230,0.005458849359227050,0.004089089635040750,0.0032677377359130600,0.0013874263272412900,0.00020129631187410600,1
3,4382,0.0005248572009177970,0.0004970563479860130,0.00024522674886261700,0.0002519264838089230,0.0,0.0005380629014393560,0.0017707994960132200,0.013802681434171300,0.034851893336381600,0.039945309592115300,0.02661955389346000,0.03795083292333770,0.033080510649328600,0.030404347134909400,0.031527397952653600,0.034587387022439300,0.03696093467302050,0.05201591944072060,0.03864229775203980,0.02450074540440300,0.022785652386907900,0.009293628877363570,0.009220041865542640,0.002008033942726390,1
4,4383,0.0005936001415064700,0.0005368869476967650,0.00027318359074117400,0.0003079796107829200,0.0,0.0004415876966448430,0.0018303130132401400,0.014266850984961100,0.03695334750002620,0.04429207432682730,0.0311207748922225,0.04189836789091310,0.03582900240107910,0.0318182343692594,0.03376281101962930,0.03621078449912730,0.03763119134070500,0.0531659297284386,0.03892066379168060,0.024179998605797500,0.022624906806146300,0.010502706952383100,0.009822161099797220,0.0020997288202519900,1
5,4384,0.0005260069367182320,0.0013194762758267800,0.0006386544677854880,0.000509312548351369,0.0007940519891670930,0.0025564070430570400,0.0017003194324007400,0.010032363092785200,0.022993234969939000,0.027790140948910300,0.02446218618148500,0.029288343192879100,0.026386566794008900,0.022320157794471200,0.024209522300788100,0.026493710853955100,0.029025519881217700,0.035825894843654900,0.027049828533835200,0.01873807027666760,0.015024845731612900,0.006849416715143330,0.005536017240395490,0.0014817502287275000,1
6,4385,0.00022535734605194200,0.00115719894224822,0.0004611942608290840,0.0005101725050823830,0.0008294914519460620,0.002362952722532820,0.0012558500794100400,0.007016423460083740,0.015563520553730200,0.019686981460182000,0.01752738348057980,0.023673188815307800,0.02163461745699130,0.018488931025180800,0.016436658472184800,0.022580243005309300,0.02381839632690700,0.028463219384448500,0.02153462527981250,0.015061408910202000,0.01194710480535940,0.004887184151160810,0.003954280083658030,0.0015106820680647100,1
7,4386,3.45936360527622E-05,7.59433670040193E-05,2.56354658550166E-07,7.5011093319715E-05,0.00026079829800370700,0.00017522818507317500,0.0004964078439247230,0.0030426655552533200,0.009235318584514610,0.01024733493505920,0.007886206241495010,0.012522508736115000,0.010080107845861600,0.008301457358485080,0.006488413947071080,0.011916751978782500,0.012316188854185800,0.01463601085485530,0.011561372302851300,0.006938138239640970,0.005053217922945510,0.0026408467972146900,0.001615113970736660,0.0006384947610326340,1
8,4387,1.3422523262215E-06,4.64563044176323E-05,0.0,0.0,0.0005611156498873620,0.0,0.000609135534457248,0.0025330578522262500,0.011670640804368700,0.01044529628392680,0.007146251769006920,0.012786987575323100,0.007923821256103210,0.005650780220086110,0.004428406780232640,0.012637512065020400,0.013298381071102000,0.013873513265260000,0.01285637992968680,0.006375275792097210,0.0025949745688927300,0.0030433094414952200,0.0006688436917287700,1.60470214193487E-05,1
9,4388,2.16519692453526E-06,7.97476304961788E-05,0.0,0.0,4.35468442919643E-05,7.4638018471331E-06,0.0005174182143286270,0.0022399941029295400,0.005852448375677870,0.005220965483872760,0.007769411229085530,0.00595236281912648,0.005616256502456410,0.003950639227310130,0.0069173974098370200,0.0051776360078760300,0.006335999837449490,0.007701016526055860,0.006078183140399800,0.0037145271824289500,0.003337300261367480,0.001027917688877480,0.0007963929115195840,0.00040061933031409000,1
