,cellid,smsin0,smsin1,smsin2,smsin3,smsin4,smsin5,smsin6,smsin7,smsin8,smsin9,smsin10,smsin11,smsin12,smsin13,smsin14,smsin15,smsin16,smsin17,smsin18,smsin19,smsin20,smsin21,smsin22,smsin23,WHF
0,4379,0.00037776680769253600,0.00019945072554552100,0.0,8.94656650631971E-06,0.0001580152458996010,0.0002043967438193990,0.00048209023930230800,0.001991835989646820,0.0042110470645871,0.005459123465990840,0.00642229851484109,0.007304287931103820,0.0045578550884265600,0.005578065202210730,0.0041413979256329500,0.004780915886881590,0.005944255127221400,0.005329860620334180,0.005470442620389110,0.003899996563059420,0.005815592942022800,0.003816944675826560,0.004231066269344650,0.0008982940056205160,1
1,4380,0.0014711979445018400,0.0003106133299853810,2.81431791467022E-05,1.61693115669877E-06,0.0001583869307648590,0.00030231827244712600,0.0009978697088136360,0.0034483924107545300,0.007769834609115260,0.0089105086706526,0.009735348463755880,0.011872444167254400,0.008466168642263070,0.008671306318156780,0.00911263583907202,0.008373137956493580,0.009585082075452350,0.010007007570206500,0.008427264452047120,0.00784455441688788,0.009887489848019670,0.006583726534100680,0.0074446457601339800,0.0024400942775203400,2
2,4381,0.0012560577212731400,0.0005772449710139680,5.21651647678132E-05,2.98086655816075E-05,8.59775842247552E-05,0.0003082598545825380,0.0008786385071040200,0.0034410094221346600,0.005561317207678920,0.008328156407068910,0.007339938377672560,0.006867549761149230,0.005656881081314980,0.004347653277771290,0.007181150112140250,0.006474191163145950,0.006290137456277290,0.00689510242708197,0.005045125829329040,0.004977880218821300,0.005282197224501760,0.003231330124623220,0.002469378328828600,0.0013425760523317900,1
3,4382,0.002336693320743410,0.0016634971759319600,0.0007789043560173200,0.0004450882034384680,0.00021962660237605400,0.0006780974929185160,0.0024508828709462000,0.01156377684565560,0.01739220183220320,0.020199319568420000,0.020834563944050900,0.023427226074153300,0.02313697022335980,0.02255582234785320,0.018495100216067400,0.023814424275253100,0.023962306636008700,0.022650317586649300,0.019704073392894800,0.017173200133651200,0.021170312943582000,0.016779378425291000,0.01217366644804750,0.0087510186832329,1
4,4383,0.0025041280327368600,0.001641932173981900,0.0007027302049444780,0.0003902350542675430,0.00023722593355956600,0.0007103914047030430,0.0026710672278121500,0.01231018055825570,0.018621403538828300,0.02163712303995650,0.02149137336895470,0.022902260221702100,0.023519095454664100,0.023661958799327100,0.017875411073963300,0.02228885955980030,0.022931594732477400,0.023357790752908300,0.020316859687434700,0.018137798486304500,0.020991855722128900,0.017746721214814200,0.012684572498782600,0.009127492183532950,1
5,4384,0.0018993337789339500,0.0014767908622340400,0.0004325022233742880,0.00024286260714948100,0.0004554327699389750,0.0007653087176389950,0.0018042895302462300,0.008341542396043750,0.013001818542313100,0.01446593377564240,0.01775478414785160,0.018074475655490900,0.020658846289200700,0.0201664325900678,0.023848867412679200,0.01691294258076030,0.017334989881481200,0.018606218189595400,0.014450856566041600,0.012525628136365800,0.01449810680578020,0.011515618928492300,0.009272281541411410,0.005999626901813120,1
6,4385,0.0009022274005584500,0.0008281755576637230,0.0006047027115616350,0.00031095009483375800,0.0003941468344384830,0.0005496503073140120,0.001092991151710560,0.005563003349931440,0.008319859862422770,0.008702474372384540,0.013266230287504300,0.01423784949267700,0.015910264224036300,0.015415120106621000,0.018683365459644300,0.012924454311688100,0.013762127829770100,0.014030010867138300,0.009582677101028320,0.009144756563354290,0.011430001573746900,0.0087896075446711,0.006993217478634690,0.003816146784268350,1
7,4386,0.0002419030660763160,0.0002681016763813660,0.00023200794322719300,0.00013317328333440100,5.22375027866559E-05,0.000126266644819316,0.0005271921431198770,0.0026885812246533000,0.0041783335202016700,0.0041313298364874,0.006321879495831020,0.006279430057233290,0.006622286239941500,0.006925747738083930,0.004298278059032580,0.006584814933032330,0.008644470143820960,0.009223506039372820,0.005217930882136440,0.005729221975632640,0.006419350603339840,0.00449428827735188,0.0029738230563418300,0.0011291003056187800,1
8,4387,4.55204579842066E-05,0.0002475829020222530,0.0,4.10538577347748E-05,1.18616055959787E-06,2.12667012032472E-05,0.0005987421221809400,0.003543041521935230,0.004612692555764590,0.004718717592217120,0.006733301878516790,0.005054231952776830,0.007183216007510150,0.008265608830637100,0.0032815002444719100,0.0072130699353453000,0.011848974806149400,0.013402608315775200,0.00610699853220314,0.007981301475530450,0.007102116107877190,0.004425826602081870,0.002754697927778590,0.0001731144432491220,1
9,4388,0.0008641226645536880,0.0004622583932720400,0.0,7.04737046589719E-05,9.56702084054546E-07,0.00029836830003053000,0.0006590685361702700,0.0016880958442214600,0.0027710553752642500,0.0027018469298776300,0.004278020416255450,0.0028547028123172500,0.0038645983422115500,0.002977293997811940,0.0037497218193422300,0.004488180440866240,0.006385359893474030,0.005639806276388980,0.004654861230807930,0.004421740124454010,0.004228322497922020,0.003563303063587770,0.0031141241918354500,0.001095432351949100,1
