,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23,WHF
0,4379,0.0002038441577265600,0.0007158471832735810,0.00011772005873503700,0.0,0.0,0.0003239790995997820,0.0001491781643027380,0.0020929659029211800,0.010769265009792100,0.011923218065856000,0.00932007335914368,0.011826807201652000,0.008849028456732540,0.010106503161814200,0.010477145465816800,0.009149589716643940,0.013073470651482000,0.010728187039052600,0.009591163070001910,0.008018311706838740,0.0049548417696849300,0.0031834243087743300,0.0014432041763108600,0.00048247418650547300,1
1,4380,0.0013113871215501400,0.000461628148216484,0.00027678602253282700,0.0,0.00010068221734604100,0.00038849957752522300,0.0003342064681777910,0.004637979340391080,0.017426942133098800,0.018756530378009600,0.016947463167601500,0.018859901068049400,0.014416367784737500,0.014417069422360600,0.019250801385256600,0.014708313843854400,0.017623321972512500,0.016722509392174100,0.013522436996895900,0.013662022855415900,0.008128061834990420,0.004872701002433600,0.002610084117516720,0.0010605597732176600,2
2,4381,0.0003639914128402560,0.00024898960977463800,0.0,0.0,0.0,0.00021752473097370400,0.0004989808667652220,0.004746892495333170,0.0089076554963968,0.014253233597403400,0.011185768441253500,0.015690504863435900,0.01177652193092900,0.007951050005197250,0.011267116384033600,0.01098751292732400,0.011553561349938100,0.011800732152541800,0.008018408975772290,0.007783462055899020,0.004719998678704440,0.002418194077299530,0.000903557803396764,0.0006185200337830400,1
3,4382,0.0015014103200873600,0.0009152445537092810,0.0,0.0,0.0,0.0015014103200873600,0.002771414196116170,0.010942657566300900,0.027945098616740400,0.04082545004720310,0.03804450343761640,0.03520013556045900,0.03563862543239770,0.02766485838073120,0.030660781701434800,0.031120921677857700,0.04603314675124380,0.046125069008613400,0.04855968409006650,0.024682396405660500,0.020695406068554200,0.009118711769868320,0.004223146711787100,0.004496231870452720,1
4,4383,0.0016465223558873900,0.0008634570507412440,1.40659457905003E-05,0.0,3.51892401389194E-05,0.001549533868969750,0.0026508646051968300,0.011640843041808100,0.03177612301762670,0.04263664491083720,0.04205944794105710,0.03724808170252330,0.03866179808076390,0.030447641130113400,0.032005778166311100,0.033411916245280000,0.04676247701570090,0.04655541469720200,0.051327509999998000,0.0259459296261006,0.021297445865071100,0.010219028928198200,0.004508342544568030,0.005044509474771490,1
5,4384,0.0010824568141828100,0.0006949010355594010,0.00010382112560926200,8.75884061657573E-06,0.0,0.0007889166027434520,0.001920513844585300,0.007825922023554390,0.02508890062593550,0.03602510390380030,0.03521920229780780,0.029404542251166500,0.0259110831723558,0.02138972347992090,0.023773687828226900,0.02397529467149330,0.034204899115829000,0.03220916258928850,0.03359688830146870,0.01838479807141710,0.015326721688715300,0.007452548110641700,0.003552517643039160,0.0028140108981219500,1
6,4385,0.0007728394719843840,0.0007272489869987050,8.40178330418935E-05,4.16314238281001E-06,0.0,0.0005596457266820230,0.002051868995795450,0.006136868768428630,0.017823998290266200,0.026883641761846800,0.027026055923528300,0.02484515857446090,0.018334281090114200,0.0142696991448095,0.017682428516497000,0.019087939843282600,0.02919931488607900,0.024367701184149200,0.02310659980767140,0.013309102306064500,0.011482740090115100,0.004713223809832760,0.003151064591300570,0.0016264712476335700,1
7,4386,0.00019342920924047500,0.00031390652950995100,0.0,1.07516217595339E-05,1.07516217595339E-05,0.00019342920924047500,0.0012686252448427800,0.0032339812962793400,0.007382455220021010,0.009169605677006360,0.010633675705620600,0.011680030156962600,0.00965350560559083,0.006556168042275870,0.007379005062426580,0.010719127456030800,0.015647975365974500,0.012526192864643800,0.011806851831068300,0.007188411921422520,0.004880657703576130,0.0015409186926402800,0.0017979314800513500,0.0005150463438541560,1
8,4387,1.62608517234688E-06,1.62608517234688E-06,1.34064918014413E-07,1.62608517234688E-06,1.62608517234688E-06,1.76015009036129E-06,0.0013595384719088300,0.003817356266825630,0.008508484951472250,0.007662379004454550,0.010588709877046500,0.012898988568857800,0.009680403256728150,0.005718048758083110,0.005378562170735580,0.012521479371729100,0.017696549593145600,0.011483217224892700,0.011355047735363900,0.008713856007641660,0.0023323919994248100,0.00040760238107755000,0.002090977542588930,7.78760171927782E-06,1
9,4388,0.0,2.62304973917166E-06,0.00023873259759615700,0.0,0.0,0.00023873259759615700,0.00010551053095210100,0.002146832085521700,0.00468553630200708,0.005279794006777310,0.006872708452242800,0.007986248716859780,0.004866606583257350,0.005541817808869370,0.007537570120767720,0.007309281862936860,0.007221760965357920,0.00816353113148008,0.0065183790996297900,0.005998334594761480,0.002753356465253630,0.002133453503803490,0.0007454573148112950,2.62304973917166E-06,1
