,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23
0,160,0.0004937068325970123,0.0003703211070726642,0.00010496585655371418,0.0,0.00031340374171844656,0.00036962680685481567,0.0005642984793506534,0.003322001747792132,0.004415584826725261,0.00881078854421737,0.008758267877859074,0.007982624341127469,0.0069446585115600186,0.006307085943664288,0.004691190848322016,0.006106890759383392,0.007044812062727043,0.010232907437998921,0.00669290530074535,0.005658060146461041,0.004620680381209454,0.0035576855990184474,0.0010675972830257413,0.000453665421648981
1,288,1.3589749151606516e-05,4.0917899113259066e-05,6.794874575803258e-06,2.0384623727409775e-05,2.038462372741019e-05,6.943526234242362e-06,1.4219216524046796e-05,9.540325905074107e-06,0.00024400149295776736,0.0002771977468059054,0.0003195837450961491,0.0004321860665658216,0.00021641090041792026,0.00016130864551929766,0.00025588635238917647,0.00028401827341668944,0.00032479672957521407,0.000387130605321254,0.00024602933802982384,0.00011947318442042247,5.6990657015942846e-05,2.9137621897901383e-05,2.1311394416728217e-05,2.071678778297222e-05
2,507,0.00183902030960728,0.000312175042206933,0.0,0.0,0.0007401673883895743,0.0,0.005621450595247411,0.01678944849338149,0.03457725602704169,0.03342403550437051,0.04215062933183874,0.04023044969730261,0.03789171222613255,0.025190047222792982,0.03793104618241625,0.03127496572010016,0.04214047485716924,0.06548434945991922,0.04914668945945415,0.025934263750429717,0.018297050328356775,0.01037302954259643,0.005063753989555953,0.002484566291559099
3,1096,0.003993979164722528,0.003930568729857488,6.341043486503983e-05,0.001965284364928744,0.0020286947997937843,0.002092105234658824,0.008178189634040177,0.034234169857034175,0.05914920136834495,0.0942706781976022,0.10397027915251582,0.12045347929032627,0.06859516058379843,0.06453777098421086,0.08894551901660132,0.10764720614291316,0.10682330960555514,0.11278257313520641,0.08875528771200619,0.06086084399381353,0.04044707512614561,0.006212905269111432,0.012298989668492785,0.009889832259508763
4,1296,0.00028074702793505095,0.00012116871616363952,0.0002976667985994745,8.48363638503372e-05,0.0004352890259217765,0.00031279707378407105,0.0003762641264036205,0.007200241444238514,0.010386750841342182,0.01483461495950137,0.015195238448346072,0.013201285384189354,0.013990465986727482,0.011890097179779657,0.011839618034618013,0.01497500835883422,0.015748147786335973,0.014476973236699282,0.01640562474116417,0.01053318512515374,0.007301614453429214,0.003173459488828075,0.0013981024987646227,0.0010002893516385986
5,1332,0.013732710930603527,0.005266481662487877,0.0011963648627716181,0.0,0.0024864257581764236,0.00278733733038862,0.010536789185088758,0.05729712586521187,0.10928259824046586,0.10355992248547811,0.0987136527585624,0.13174334094732756,0.08303265183845744,0.08868860079765313,0.08706441408731631,0.08775635721148269,0.1226503284633646,0.13010188927824626,0.11540364166715207,0.0801403321332444,0.038050948554221246,0.01797454431821738,0.011432403544063607,0.004197857980561644
6,1446,0.0012897035831526986,0.0009342075359566697,3.4384683531229015e-05,5.299689268021971e-05,0.0002817766751701454,0.0003472850210589942,0.0019073409407489098,0.0074448227219316085,0.01834532045741323,0.024085639244622835,0.027862215079957935,0.022666224452776083,0.02049670356875742,0.015219362430810028,0.020290867200818363,0.019141122155980916,0.02633745636558183,0.027565598636074932,0.02445469548745904,0.014812396017683492,0.007081964302522247,0.004072209629278218,0.0022029308338814293,0.001764010139118154
7,1580,0.0,0.0,0.0,0.0,0.0,0.0,0.00024067982773850606,0.0023175014632925268,0.007463947125169702,0.012361982424123105,0.01807435588819515,0.018830268346151716,0.013217615481801519,0.010127624515481779,0.010189075789545591,0.008965886761530829,0.013307208452958408,0.010120143530245929,0.012957807221385087,0.009600628688191108,0.007247549957082735,0.0063624800127791694,0.0015779675053564284,0.00014945289862427282
8,1675,4.980175502673929e-05,0.00010508907521560276,3.502969173853426e-05,0.0,0.0,0.00010508907521560276,0.00010082240819822547,0.0026058394915588405,0.012882088353783672,0.009849512230801811,0.019996258348736484,0.01541381104386748,0.008550530547740904,0.00524355179296495,0.009016199559978334,0.004660422226537993,0.011814898229372048,0.010151898140892337,0.005371713398476803,0.005743131734796946,0.007304137752948282,0.0024686829984659976,0.0002920237053278855,0.00025046054030515347
9,1676,0.00029557043068699403,0.0005792002478892417,0.0001911004829651003,0.0,2.5120466776402422e-05,0.0006484086374244023,0.0014421766410761,0.006630991337610068,0.013078442705616082,0.021424513336698214,0.019452970630078597,0.018739851328777004,0.019340009989197056,0.016012609481185124,0.014875986439509454,0.015390635064130303,0.020934700471926394,0.02176437539556797,0.01644839872469211,0.009992633369036023,0.006862593477332417,0.004704781379063382,0.0030713830301138077,0.0019033184262417589
