,cellid,smsin0,smsin1,smsin2,smsin3,smsin4,smsin5,smsin6,smsin7,smsin8,smsin9,smsin10,smsin11,smsin12,smsin13,smsin14,smsin15,smsin16,smsin17,smsin18,smsin19,smsin20,smsin21,smsin22,smsin23
0,160,0.0008301818619581426,0.0007007244242462886,9.03469610953607e-05,2.2039824848658862e-07,0.00018561064070615456,0.0002118530741328871,0.0012383952981226288,0.002483236774366237,0.006856917310388633,0.0081718302222241,0.010916711733909611,0.008603510733893356,0.008688424887449343,0.007761107864720607,0.007799777513458691,0.008287716837590754,0.009399692482141123,0.009783984980346324,0.006054389547514326,0.007578922570589335,0.0069423879063080715,0.006064280253691888,0.0037724794203039206,0.0017657038742905423
1,288,7.714366085408267e-07,0.0,3.8571830427053987e-07,5.8770675161656605e-06,6.348989880021959e-07,0.0,1.8977234187219704e-05,9.775372568081967e-05,0.0002779530861874092,0.00021902994370031527,0.0003426753550970669,0.0003175337558785912,0.0003145376283657809,0.0002043035757125196,0.00025286924648049234,0.00035242382792995196,0.0003266393648710233,0.0003258875709426843,0.0001458947242977855,0.0002708258633754403,0.00018740569294120398,0.0001458289999337769,0.00011580079851249683,2.061852819348114e-05
2,507,0.008955046875397273,0.0053154778068190195,0.005285580015313967,0.002454809786276098,0.0044947443155542955,0.01098157013862888,0.02948238908180164,0.030966247166190702,0.09483286184413212,0.06983374577977941,0.06148558284497883,0.07218955701645012,0.04675939732391817,0.07079739305884013,0.053122857432031115,0.07158630344165069,0.0571038334998148,0.07024660732809097,0.1003609398580661,0.16787818381742298,0.1367891852064136,0.11289044163271547,0.09140362301487585,0.04948834381681726
3,1096,0.010582877498798273,0.0019192081300977392,0.0033996533040598718,0.0017546720215468868,0.00849913326014968,0.0018643627605807887,0.04446971980036309,0.07572474397110535,0.14300520005157796,0.16340311987593722,0.1793048588088931,0.08652700294797144,0.17903063196130836,0.11295677401020864,0.11717872805402725,0.11624673657523463,0.16055192026704687,0.11515020898789113,0.12644569648741422,0.11794656322726454,0.09551974453377367,0.06749983755854043,0.06004238651621727,0.024400872193105563
4,1296,0.00022867485333519537,0.0009837228967947795,0.0002199635162798404,0.0005695844902916291,1.3726211843506972e-05,0.0005377364182104448,0.001535715590697761,0.011068251658065806,0.01711608270857785,0.01487266559611039,0.021986125734217394,0.0142844902044815,0.013417173390729613,0.017576570917030958,0.02782434140711736,0.013608635122427803,0.01437886661092042,0.018619865070973664,0.008361018145594253,0.012598166225443842,0.014967203753485512,0.014111616348698569,0.011317707543934068,0.004396330801613091
5,1332,0.011183084358895914,0.003603207006724316,0.0,0.0049072744362595394,0.0,0.007607648534926396,0.01952799537390993,0.057832089340672604,0.12772012386907583,0.13531199478661643,0.12211691506903478,0.14934218962982657,0.1067016393240852,0.14270136325292726,0.13348267556023685,0.10509579961104878,0.1188167849396333,0.15592688592141535,0.1254096162231933,0.16731835679803372,0.10718185553401553,0.08079288134712115,0.051586107759503105,0.01701555595701099
6,1446,0.002627610774609425,0.0002853295191509641,0.0,2.974022616320822e-05,0.0010688815401278078,0.0009068627267670435,0.002636402903654469,0.011671653618333677,0.029802849035954617,0.03272316235000858,0.03984476414607937,0.04213829835030696,0.03025467223318489,0.03815192276205709,0.039317878396690285,0.03759789719136442,0.0346780457761261,0.04314357955737629,0.03487147823107962,0.03527830940875032,0.028726526678349327,0.01732444206322501,0.014454000596746236,0.005777817477993273
7,1580,0.0016653630104495134,0.0020817037630618917,0.0008326815052247565,0.0010408518815309465,0.0007865232227356312,0.00021571106552367708,0.0022780815189737216,0.01076114930726326,0.013552480717758688,0.020218976807000234,0.024757722412885586,0.01729579363503693,0.023337174177204812,0.02879366734301081,0.018601149508495833,0.011616948530563418,0.011632126144981743,0.02864735079151714,0.02418496866116698,0.03144811408333594,0.035659577312335954,0.02266897078015438,0.01792269051355298,0.007581138771704588
8,1675,0.0011291007908496814,0.001879087554623028,0.00336429966760621,0.0,0.0,0.0,0.002848591705178488,0.0036335712617688587,0.007087978574129864,0.010405932106361029,0.017557760522206346,0.0176796937179391,0.014745128377214744,0.017038178473750144,0.010383571759628426,0.007906314164321906,0.0071395722366906795,0.010482228447218751,0.010225499849181809,0.008746078089855468,0.006576323468211346,0.005283312444100408,0.0020862105635120606,0.0007856922717452913
9,1676,0.003146473345072743,0.0013703945679413544,0.0006314987064887173,0.0,0.0004111642061874377,0.0,0.0038645758495030654,0.009920129871125949,0.021543465259170183,0.02981629560150862,0.027884370938411136,0.03099758122995269,0.02724968698368865,0.036113482957298576,0.0310410455956973,0.029685811249725302,0.0384815448410129,0.03595925092856354,0.02089895111422064,0.026748512964803507,0.03205608274451981,0.026863551844215565,0.016394667313623507,0.007219485254992734
