,cellid,internet0,internet1,internet2,internet3,internet4,internet5,internet6,internet7,internet8,internet9,internet10,internet11,internet12,internet13,internet14,internet15,internet16,internet17,internet18,internet19,internet20,internet21,internet22,internet23
0,160,0.0024019982817060173,0.0020854890546079417,0.0020920453516286757,0.00211073285979976,0.002203474662375357,0.00228528386280268,0.0030402325577464405,0.004190541215673615,0.00519773687542352,0.00583770052237792,0.005869505134847536,0.006038873820024318,0.00615297134294274,0.005622968282342011,0.005963655278761095,0.005673133116301226,0.005536738189476004,0.005615068228227445,0.005397299412199939,0.00518808449140785,0.00428120238899557,0.003547962482461066,0.003136167415871956,0.0029098053374343527
1,288,6.251602403171876e-05,6.0597832433195836e-05,5.5931497657561655e-05,5.192919984867534e-05,6.019647936845047e-05,4.655295899177247e-05,8.648791101245581e-05,0.00010422466268895895,0.00011291562772514305,0.00013224839525909708,0.00014468891826071976,0.00015878837054377853,0.00015176461492280777,0.00016366594476337082,0.0001537716373276129,0.00014604420752306672,0.00014756185079494664,0.00013411703907710516,0.00011598278551411004,0.00012030599461238186,0.00010515083927530626,9.755368960258054e-05,0.00017264793446470356,0.00010455790792288086
2,507,0.05092556600233845,0.04332647145431168,0.0415520192029666,0.04008142669703041,0.03887013053444659,0.05320769169272881,0.06582394454902901,0.09420113809725963,0.08803807587562003,0.10041124788071089,0.09160760496595789,0.10833698735093314,0.09985987649049742,0.11119227265440236,0.0940336548692078,0.09067730674786637,0.09611685259417722,0.09962678956187707,0.11035016864102073,0.08152380238210795,0.07288809679468754,0.0590283008173543,0.05958249707210392,0.05095108769419362
3,1096,0.02220387028795411,0.019588921378096362,0.020314686763640306,0.015406111395424554,0.013982325825687526,0.016486485799322062,0.0256388261707422,0.04007093665140449,0.06735613706123703,0.060092980214130697,0.068076361081278,0.09145570466207874,0.08153877097275788,0.09114542656774886,0.16371550278457503,0.1123252701560699,0.0763034085352115,0.07584351357230165,0.10442504814530305,0.07477422189941006,0.06397097672030351,0.05268020649844437,0.06710666049209557,0.05242530368530809
4,1296,0.015915600078983974,0.014496907428257143,0.012985826940305485,0.011200577038799965,0.012259633965966937,0.011936506939217688,0.014833671092646002,0.014685161362154663,0.012229326358401573,0.013109536625112262,0.012786595248697833,0.013584856775551409,0.015025491878504018,0.015176123350209786,0.014573040165437784,0.019898849227174446,0.02015060597865392,0.02193082048498498,0.018001665147192047,0.016075956264770305,0.018446229768946932,0.017415462274809182,0.012996456097218839,0.020618876777918797
5,1332,0.048173360232374174,0.04023368276007827,0.03514743802853504,0.042180689577627835,0.03638563626934489,0.039614438391579326,0.09605347175363552,0.06897944961927435,0.08548891599694913,0.10522917143252063,0.11352844736046777,0.07823191327251458,0.07130301466075258,0.07723508160534963,0.09080853202392779,0.11140977184397491,0.08340431671300508,0.07712822115416486,0.07812078752215763,0.06446861625882244,0.07537305158015434,0.07862567309166767,0.05393382415690623,0.048362543542092275
6,1446,0.009526035414696014,0.007142250831802799,0.006120304367392365,0.007851375123370597,0.00607998614573845,0.006212897971556046,0.01862267764834065,0.013414749381602576,0.017880246143654858,0.016176413831473217,0.01966265646497794,0.01667586957275749,0.016847263913696616,0.01577998250463492,0.02019074053929486,0.024236342218005413,0.016523094963660157,0.01770690418707383,0.01676458409420075,0.0149759002210161,0.016326167191506338,0.018820449513824136,0.01286378267361101,0.011387347334414854
7,1580,0.004903183984827288,0.004306805934562412,0.003634606396965027,0.0029357800198228476,0.003535891172853447,0.004249997730042932,0.0048905582272875435,0.006608066694452902,0.00532462936585587,0.007093687782749857,0.008739646206103542,0.008496623982162546,0.008285675358361394,0.009971257042034228,0.0112689192369735,0.010993970675065945,0.009704359406236818,0.007809663871574911,0.008120802461476135,0.008076567928905154,0.007536719603442216,0.00713091339661395,0.017980777352914958,0.006814835704670797
8,1675,0.010187690112167833,0.0075028229786435075,0.006938953684893438,0.006765318078577384,0.0066224785876464985,0.0073307717580294,0.007409465793873461,0.009136067725459872,0.011241066069099801,0.027011243712057823,0.016687226989278794,0.010958241385059998,0.01002987538309511,0.010568062162406107,0.010127752214038627,0.009910899341009895,0.012206177954680592,0.01166269812199649,0.011747473309400852,0.011364287154274072,0.017748842192654733,0.016808711055137933,0.008814254442311441,0.008816218849761361
9,1676,0.019648058906455816,0.011534633198226485,0.00879194513226138,0.009190573121321552,0.009176717481418507,0.01010218641844227,0.011970968856763482,0.0178109436759245,0.02078217420462386,0.024838242611625164,0.025493951927815763,0.018545645265968122,0.02028943099871413,0.022977920261342537,0.023828395353717096,0.01886810945569641,0.02678440077191622,0.0269147891615393,0.024623792833767647,0.025329364945063736,0.028861223000669532,0.020129278790501803,0.02480100284455202,0.0315668435650319
